ward,all
N08000101,3391.998826
N08000102,4294.999284
N08000103,3565.998752
N08000104,3887.999475
N08000105,3488.999756
N08000106,3115.998786
N08000107,2876.999072
N08000108,3351.999363
N08000109,3286.998855
N08000110,3443.998656
N08000111,2805.998884
N08000112,3169
N08000113,3358.999002
N08000114,2960.999712
N08000115,3090.999925
N08000116,3874.999358
N08000117,3338.999944
N08000118,3054.99948
N08000119,3044.998945
N08000120,3274.999331
N08000121,3330.999504
N08000122,3069.99875
N08000123,2937.998937
N08000124,3383.998989
N08000125,4635.998379
N08000126,3576.999396
N08000127,3638.999936
N08000128,3177.998633
N08000129,3113.9992
N08000130,3643.999253
N08000131,3270.999094
N08000132,3117.999451
N08000133,3349.999122
N08000134,4791.999722
N08000135,3478.999645
N08000136,3818.998512
N08000137,3073.999884
N08000138,3552.999528
N08000139,3241.9992
N08000140,2759.998644
N08000201,4774.999131
N08000202,4576.998644
N08000203,4183.999775
N08000204,4184.999336
N08000205,4630.998288
N08000206,5430.999078
N08000207,5070.9993
N08000208,4415
N08000209,6225.999885
N08000210,4892.998676
N08000211,5202.999096
N08000212,5411.998432
N08000213,4917.999003
N08000214,4711.998572
N08000215,4463.998704
N08000216,4529
N08000217,4750.998236
N08000218,4648.99897
N08000219,4476.99954
N08000220,4923.998771
N08000221,4629.998736
N08000222,4427.9985
N08000223,4148.999787
N08000224,4808.99916
N08000225,4971.998687
N08000226,5115.998258
N08000227,4411.998384
N08000228,4692.998232
N08000229,4841.999306
N08000230,4998.99849
N08000231,4715.999262
N08000232,5307.99829
N08000233,4097.99952
N08000234,4745.999701
N08000235,4689.999882
N08000236,4875.99924
N08000237,5811.999512
N08000238,5049.999318
N08000239,5131.999465
N08000240,4793.998832
N08000241,4941.999656
N08000301,4733.999152
N08000302,5494.997984
N08000303,5858.998712
N08000304,5397.997752
N08000305,5049.998784
N08000306,4983.998058
N08000307,5801.999904
N08000308,6423.997481
N08000309,5124.997752
N08000310,4762.99812
N08000311,4912.997848
N08000312,7117.997544
N08000313,5812.997196
N08000314,4285.999747
N08000315,11293.99857
N08000316,5481.999298
N08000317,5324.997942
N08000318,5781.99952
N08000319,5659.999026
N08000320,5756.998764
N08000321,4563.9984
N08000322,6367.999628
N08000323,5390.999038
N08000324,5076.99967
N08000325,4727.99817
N08000326,4494.9996
N08000327,4658.999499
N08000328,4621.998706
N08000329,4808.99806
N08000330,5045.998848
N08000331,4634.99982
